1	PVD	PHL	MCO	0.0	03/01	05/01
1	PVD	PHL	FLL	0.0	03/01	05/01
1	PVD	BWI	RDU	0.0	03/01	05/01
1	PVD	BWI	PVD	0.0	03/01	05/01
1	PVD	BWI	PBI	0.0	03/01	05/01
1	PVD	BWI	ORF	0.0	03/01	05/01
1	PVD	BWI	MHT	0.0	03/01	05/01
1	PVD	BWI	MDW	0.0	03/01	05/01
1	PVD	BWI	BDL	0.0	03/01	05/01
1	PIT	PHL	RSW	0.0	03/01	05/01
1	PIT	PHL	PVD	0.0	03/01	05/01
1	PIT	PHL	MHT	0.0	03/01	05/01
1	PIT	PHL	MCO	0.0	03/01	05/01
1	PIT	PHL	FLL	0.0	03/01	05/01
1	PIT	MDW	TPA	0.0	03/01	05/01
1	PIT	MDW	STL	0.0	03/01	05/01
1	PIT	MDW	RSW	0.0	03/01	05/01
1	PIT	MDW	PVD	0.0	03/01	05/01
1	PIT	MDW	PHL	0.0	03/01	05/01
1	PIT	MDW	OMA	0.0	03/01	05/01
1	PIT	MDW	MCO	0.0	03/01	05/01
1	PIT	MDW	ISP	0.0	03/01	05/01
1	PIT	MDW	CMH	0.0	03/01	05/01
1	PIT	MDW	BWI	0.0	03/01	05/01
1	PIT	MDW	BNA	0.0	03/01	05/01
1	PIT	MDW	BDL	0.0	03/01	05/01
1	PIT	MCO	STL	0.0	03/01	05/01
1	PIT	MCO	RDU	0.0	03/01	05/01
1	PIT	MCO	PIT	0.0	03/01	05/01
1	PIT	MCO	PHL	0.0	03/01	05/01
1	PIT	MCO	ORF	0.0	03/01	05/01
1	PIT	MCO	MSY	0.0	03/01	05/01
1	PIT	MCO	MHT	0.0	03/01	05/01
1	PIT	MCO	JAN	0.0	03/01	05/01
1	PIT	MCO	CMH	0.0	03/01	05/01
1	PIT	MCO	BWI	0.0	03/01	05/01
1	PIT	MCO	BNA	0.0	03/01	05/01
1	PHX	SAN	PHX	0.0	03/01	05/01
1	PHX	PVD	PHL	0.0	03/01	05/01
1	PHX	PVD	MDW	0.0	03/01	05/01
1	PHX	PVD	MCO	0.0	03/01	05/01
1	PHX	PVD	BWI	0.0	03/01	05/01
1	PHX	ONT	LAS	0.0	03/01	05/01
1	PHX	MSP	RSW	0.0	02/01	04/01
1	PHX	MSP	PHX	0.0	02/01	04/01
1	PHX	MSP	ORD	0.0	02/01	04/01
1	PHX	MSP	MKE	0.0	02/01	04/01
1	PHX	MSP	EWR	0.0	02/01	04/01
1	PHX	MSP	DLH	0.0	02/01	04/01
1	PHX	MSP	DCA	0.0	02/01	04/01
1	PHX	MDW	TPA	0.0	03/01	05/01
1	PHX	MDW	STL	0.0	03/01	05/01
1	PHX	MDW	RSW	0.0	03/01	05/01
1	PHX	MDW	PVD	0.0	03/01	05/01
1	PHX	MDW	PHL	0.0	03/01	05/01
1	PHX	MDW	OMA	0.0	03/01	05/01
1	PHX	MDW	MCO	0.0	03/01	05/01
1	PHX	MDW	ISP	0.0	03/01	05/01
1	PHX	MDW	CMH	0.0	03/01	05/01
1	PHX	MDW	BWI	0.0	03/01	05/01
1	PHX	MDW	BNA	0.0	03/01	05/01
1	PHX	MDW	BDL	0.0	03/01	05/01
1	PHX	MCI	TUL	0.0	03/01	05/01
1	PHX	MCI	SEA	0.0	03/01	05/01
1	PHX	MCI	SAN	0.0	03/01	05/01
1	PHX	MCI	MDW	0.0	03/01	05/01
1	PHX	MCI	MCO	0.0	03/01	05/01
1	PHX	MCI	BWI	0.0	03/01	05/01
1	PHX	MCI	BNA	0.0	03/01	05/01
1	PHX	LAX	DTW	0.0	03/01	05/01
1	PHX	HOU	STL	0.0	03/01	05/01
1	PHX	HOU	SAT	0.0	03/01	05/01
1	PHX	HOU	MCO	0.0	03/01	05/01
1	PHX	HOU	MAF	0.0	03/01	05/01
1	PHX	HOU	JAN	0.0	03/01	05/01
1	PHX	HOU	DAL	0.0	03/01	05/01
1	PHX	HOU	CRP	0.0	03/01	05/01
1	PHX	HOU	BWI	0.0	03/01	05/01
1	PHX	HOU	AUS	0.0	03/01	05/01
1	PHX	ELP	DAL	0.0	03/01	05/01
1	PHX	ELP	ABQ	0.0	03/01	05/01
1	PHX	DTW	TVC	0.0	02/01	04/01
1	PHX	DTW	SAN	0.0	02/01	04/01
1	PHX	DTW	MEM	0.0	02/01	04/01
1	PHX	DTW	MDW	0.0	02/01	04/01
1	PHX	DTW	MCO	0.0	02/01	04/01
1	PHX	DTW	LGA	0.0	02/01	04/01
1	PHX	DTW	IAD	0.0	02/01	04/01
1	PHX	DTW	GRB	0.0	02/01	04/01
1	PHX	DTW	FLL	0.0	02/01	04/01
1	PHX	DTW	DCA	0.0	02/01	04/01
1	PHX	DTW	BWI	0.0	02/01	04/01
1	PHX	DTW	BOS	0.0	02/01	04/01
1	PHX	DTW	BDL	0.0	02/01	04/01
1	PHX	DTW	AZO	0.0	02/01	04/01
1	PHX	BNA	MDW	0.0	03/01	05/01
1	PHX	BNA	MCO	0.0	03/01	05/01
1	PHX	BNA	MCI	0.0	03/01	05/01
1	PHX	BNA	LAS	0.0	03/01	05/01
1	PHX	BNA	HOU	0.0	03/01	05/01
1	PHX	BNA	AUS	0.0	03/01	05/01
1	PHL	RDU	PHL	0.0	03/01	05/01
1	PHL	RDU	MDW	0.0	03/01	05/01
1	PHL	RDU	BWI	0.0	03/01	05/01
1	PHL	RDU	BNA	0.0	03/01	05/01
1	PHL	PIT	PHL	0.0	03/01	05/01
1	PHL	PIT	MCO	0.0	03/01	05/01
1	PHL	MDW	TPA	0.0	03/01	05/01
1	PHL	MDW	STL	0.0	03/01	05/01
1	PHL	MDW	RSW	0.0	03/01	05/01
1	PHL	MDW	PVD	0.0	03/01	05/01
1	PHL	MDW	PHL	0.0	03/01	05/01
1	PHL	MDW	OMA	0.0	03/01	05/01
1	PHL	MDW	MCO	0.0	03/01	05/01
1	PHL	MDW	ISP	0.0	03/01	05/01
1	PHL	MDW	CMH	0.0	03/01	05/01
